uniprot,assay,coefficient
Q96PL1,SCGB3A2,-0.052775024
Q9UP79,ADAMTS8,-0.039304266
Q15166,PON3,-0.038562175
Q9H293,IL25,-0.034994357
P08217,CELA2A,-0.031764002
O95715,CXCL14,-0.028339267
P07766,CD3E,-0.025789932
Q6UXK5,LRRN1,-0.023207795
O95445,APOM,-0.022925993
Q96T91,GPHA2,-0.020973031
Q8NEB7,ACRBP,-0.020441961
Q13316,DMP1,-0.019807299
O15078,CEP290,-0.016628337
Q6ZRY4,RBPMS2,-0.016588422
Q6ZVL6,KIAA1549L,-0.015044809
Q6P1J6,PLB1,-0.013773849
Q02083,NAAA,-0.01375636
Q13790,APOF,-0.012428896
Q9BSG5,RTBDN,-0.012338928
Q9NYX4,CALY,-0.011268837
Q9H2M3,BHMT2,-0.009696387
Q15256,PTPRR,-0.009340687
Q92485,SMPDL3B,-0.009287037
Q9UK85,DKKL1,-0.008539117
O76039,CDKL5,-0.007810318
Q8N556,AFAP1,-0.007326137
P13647,KRT5,-0.007206561
Q9H4P4,RNF41,-0.006887046
Q9H0C8,ILKAP,-0.006756902
Q15223,NECTIN1,-0.006601257
Q5T848,GPR158,-0.006515699
P35228,NOS2,-0.006356105
P05154,SERPINA5,-0.004907922
Q9NQ66,PLCB1,-0.00479488
P22033,MMUT,-0.004749353
Q02643,GHRHR,-0.004570823
O43396,TXNL1,-0.004207797
P14415,ATP1B2,-0.003890904
P22102,GART,-0.003128112
Q9UFP1,GASK1A,-0.003084017
P11279,LAMP1,-0.002878372
Q9NPH3,IL1RAP,-0.002383375
Q6UWR7,ENPP6,-0.002100399
Q9GZT3,SLIRP,-0.001888941
Q9NUY8,TBC1D23,-0.001714874
A1E959,ODAM,-0.001626509
P43146,DCC,-0.001390709
Q6UY09,CEACAM20,-0.001287992
Q9HC77,CENPJ,-0.000219914
O76070,SNCG,0.000121768
Q5JZY3,EPHA10,0.000233889
P07451,CA3,0.000345718
P19526,FUT1,0.000604504
Q9Y265,RUVBL1,0.001029962
Q6UXH1,CRELD2,0.001818808
Q7Z6P3,RAB44,0.002629751
O00221,NFKBIE,0.002958774
Q8IYW5,RNF168,0.003178872
Q9BW66,CINP,0.003194856
P05231,IL6,0.003215724
Q14807,KIF22,0.003371778
P52209,PGD,0.003432365
P01242,GH2,0.003437944
Q15661,TPSAB1,0.003816389
O95544,NADK,0.003968957
Q13509,TUBB3,0.004235744
P29460,IL12B,0.004492883
O95049,TJP3,0.00526489
P17676,CEBPB,0.006134929
O94856,NFASC,0.006723247
P14649,MYL6B,0.007130322
P01258,CALCA,0.007229549
P78524,DENND2B,0.007498905
P12724,RNASE3,0.007572896
Q9H7C9,AAMDC,0.007694033
P04439,HLA-A,0.007893228
O00182,LGALS9,0.007943317
P00746,CFD,0.008068307
P16671,CD36,0.008221555
P35609,ACTN2,0.00898951
P08236,GUSB,0.008990909
Q8N163,CCAR2,0.009271793
P07998,RNASE1,0.009451121
P00797,REN,0.009681051
Q8NBJ7,SUMF2,0.010376792
Q99460,PSMD1,0.011501128
P20849,COL9A1,0.011564651
Q92851,CASP10,0.013619752
P05121,SERPINE1,0.014577024
Q6WCQ1,MPRIP,0.014582097
P05413,FABP3,0.015609792
Q9NQ84,GPRC5C,0.015778731
Q9BX66,SORBS1,0.01588482
P01270,PTH,0.016276671
Q8TD06,AGR3,0.016528054
Q9UQ16,DNM3,0.016913572
Q99748,NRTN,0.016971014
P0DOY2,IGLC2,0.017478386
P30279,CCND2,0.018827474
O15123,ANGPT2,0.019223664
Q9C005,DPY30,0.019918802
Q13936,CACNA1C,0.020372313
Q99616,CCL13,0.02345925
Q05315,CLC,0.024049619
P52823,STC1,0.025698197
Q9HAN9,NMNAT1,0.026907182
Q8N4F0,BPIFB2,0.027408209
P08758,ANXA5,0.028242591
P55083,MFAP4,0.028352117
P09529,INHBB,0.035054231
P62736,ACTA2,0.053056962
P41159,LEP,0.064981524
